n,r,a,largest_component,second_largest_component
1000,0.041940975636132104,0.8,0.959,0.011
1000,0.041940975636132104,0.8,0.95,0.031
1000,0.041940975636132104,0.8,0.896,0.025
1000,0.041940975636132104,0.8,0.959,0.021
1000,0.041940975636132104,0.8,0.916,0.036
1000,0.041940975636132104,0.8,0.727,0.214
1000,0.041940975636132104,0.8,0.947,0.021
1000,0.041940975636132104,0.8,0.941,0.013
1000,0.041940975636132104,0.8,0.947,0.015
1000,0.041940975636132104,0.8,0.965,0.014
1000,0.04448512242283317,0.8999999999999999,0.976,0.022
1000,0.04448512242283317,0.8999999999999999,0.963,0.018
1000,0.04448512242283317,0.8999999999999999,0.993,0.003
1000,0.04448512242283317,0.8999999999999999,0.969,0.013
1000,0.04448512242283317,0.8999999999999999,0.992,0.003
1000,0.04448512242283317,0.8999999999999999,0.964,0.011
1000,0.04448512242283317,0.8999999999999999,0.96,0.021
1000,0.04448512242283317,0.8999999999999999,0.987,0.004
1000,0.04448512242283317,0.8999999999999999,0.927,0.043
1000,0.04448512242283317,0.8999999999999999,0.958,0.01
1000,0.046891436282526934,1.0,0.984,0.012
1000,0.046891436282526934,1.0,0.975,0.014
1000,0.046891436282526934,1.0,0.995,0.002
1000,0.046891436282526934,1.0,0.98,0.007
1000,0.046891436282526934,1.0,0.989,0.007
1000,0.046891436282526934,1.0,0.962,0.019
1000,0.046891436282526934,1.0,0.955,0.021
1000,0.046891436282526934,1.0,0.998,0.001
1000,0.046891436282526934,1.0,0.988,0.006
1000,0.046891436282526934,1.0,0.987,0.012
1000,0.04918015327652113,1.1,0.995,0.004
1000,0.04918015327652113,1.1,0.987,0.011
1000,0.04918015327652113,1.1,0.987,0.005
1000,0.04918015327652113,1.1,1.0,0.0
1000,0.04918015327652113,1.1,0.998,0.001
1000,0.04918015327652113,1.1,0.991,0.007
1000,0.04918015327652113,1.1,0.988,0.006
1000,0.04918015327652113,1.1,0.986,0.007
1000,0.04918015327652113,1.1,0.984,0.013
1000,0.04918015327652113,1.1,0.997,0.001
1000,0.05136699481151238,1.1999999999999997,0.993,0.005
1000,0.05136699481151238,1.1999999999999997,1.0,0.0
1000,0.05136699481151238,1.1999999999999997,0.996,0.003
1000,0.05136699481151238,1.1999999999999997,0.993,0.004
1000,0.05136699481151238,1.1999999999999997,0.998,0.001
1000,0.05136699481151238,1.1999999999999997,0.961,0.035
1000,0.05136699481151238,1.1999999999999997,0.997,0.002
1000,0.05136699481151238,1.1999999999999997,0.986,0.006
1000,0.05136699481151238,1.1999999999999997,0.998,0.001
1000,0.05136699481151238,1.1999999999999997,0.962,0.032
10000,0.015314678959789425,0.8,0.995,0.0014
10000,0.015314678959789425,0.8,0.9968,0.0004
10000,0.015314678959789425,0.8,0.9965,0.0008
10000,0.015314678959789425,0.8,0.9957,0.0006
10000,0.015314678959789425,0.8,0.9941,0.0011
10000,0.015314678959789425,0.8,0.9953,0.001
10000,0.015314678959789425,0.8,0.9957,0.0016
10000,0.015314678959789425,0.8,0.9969,0.0006
10000,0.015314678959789425,0.8,0.9971,0.0004
10000,0.015314678959789425,0.8,0.9969,0.0006
10000,0.016243670016243068,0.9,0.9978,0.0011
10000,0.016243670016243068,0.9,0.9996,0.0001
10000,0.016243670016243068,0.9,0.9975,0.0011
10000,0.016243670016243068,0.9,0.9987,0.0004
10000,0.016243670016243068,0.9,0.9984,0.0005
10000,0.016243670016243068,0.9,0.9987,0.0006
10000,0.016243670016243068,0.9,0.9967,0.0013
10000,0.016243670016243068,0.9,0.9993,0.0001
10000,0.016243670016243068,0.9,0.9985,0.0007
10000,0.016243670016243068,0.9,0.9992,0.0002
10000,0.01712233160383746,1.0,0.9997,0.0001
10000,0.01712233160383746,1.0,0.9983,0.0006
10000,0.01712233160383746,1.0,0.9998,0.0001
10000,0.01712233160383746,1.0,0.9997,0.0001
10000,0.01712233160383746,1.0,0.9997,0.0001
10000,0.01712233160383746,1.0,0.9999,0.0001
10000,0.01712233160383746,1.0,0.9998,0.0001
10000,0.01712233160383746,1.0,0.9998,0.0002
10000,0.01712233160383746,1.0,0.998,0.0007
10000,0.01712233160383746,1.0,0.9994,0.0002
10000,0.017958052887408153,1.0999999999999999,0.9996,0.0002
10000,0.017958052887408153,1.0999999999999999,1.0,0.0
10000,0.017958052887408153,1.0999999999999999,1.0,0.0
10000,0.017958052887408153,1.0999999999999999,1.0,0.0
10000,0.017958052887408153,1.0999999999999999,0.9999,0.0001
10000,0.017958052887408153,1.0999999999999999,1.0,0.0
10000,0.017958052887408153,1.0999999999999999,1.0,0.0
10000,0.017958052887408153,1.0999999999999999,0.9992,0.0003
10000,0.017958052887408153,1.0999999999999999,1.0,0.0
10000,0.017958052887408153,1.0999999999999999,0.9998,0.0001
10000,0.018756574513010774,1.1999999999999997,1.0,0.0
10000,0.018756574513010774,1.1999999999999997,1.0,0.0
10000,0.018756574513010774,1.1999999999999997,0.9997,0.0003
10000,0.018756574513010774,1.1999999999999997,0.9998,0.0002
10000,0.018756574513010774,1.1999999999999997,0.9997,0.0001
10000,0.018756574513010774,1.1999999999999997,0.9998,0.0002
10000,0.018756574513010774,1.1999999999999997,1.0,0.0
10000,0.018756574513010774,1.1999999999999997,0.9999,0.0001
10000,0.018756574513010774,1.1999999999999997,1.0,0.0
10000,0.018756574513010774,1.1999999999999997,0.9999,0.0001
